Client,Project,Project Code,Currency,Project Status,Total Hours
REB_ZUMK (RUS),REB_ZUMK 3.1_Ревизионное обжалование определения о назначении экспертизы по делу № 15 (признание права собственности),,EUR,,
REB_ZUMK (RUS),REB_ZUMK 3.1_Ревизионное обжалование определения о приостановлении производства по делу № 21,,EUR,,
REB_ZUMK (RUS),REB_ZUMK_1.1.,,EUR,,
RED HOUSE DEVELOPER,Дело XON SAROY,,UZS,,
RG Brands,Charter amendment,,EUR,,
Roedl&Partners,Dividend Distribution,,EUR,,
Roedl&Partners,Employment Agreement (Local LLC),,EUR,,
Roedl&Partners,Liqui Moly,,EUR,,
Roedl&Partners,LLC Establishment,,EUR,,
Roedl&Partners,Memo regarding obligations of participants,,EUR,,
Roedl&Partners,Memorandum on providing of audit and legal services,,EUR,,
Roedl&Partners,Структура сделки по второму проекту,,EUR,,
ROSATOM HEALTHCARE,Вопросы по организации структуры,,RUB,,
ROSATOM HEALTHCARE,Оформление обязывающих документов,,RUB,,
Roseximbank,TMZ Financing,,USD,,
RUSSIAN LEASING COMPANY,LLC ESTABLISHMENT,,EUR,,
SABOAM,Development of Structure,,UZS,,
SABOAM,Qarachay,,UZS,,
SALMET GmbH,SUPPLY SECURITY,,EUR,,
SALUS LEGAL,Оценка правового статуса,,USD,,
SAMSUNG ELECTRONICS UZBEKISTAN,Day to Day Activity,,UZS,,
Sandoz-Novartis,Monthly legal services,,UZS,,
Sanoat Qurilish Bank,Advise on Reg S private placement,,UZS,,
Sanoat Qurilish Bank,External Requests,,UZS,,
Sanoat Qurilish Bank,Issuance of AT1 bonds,,UZS,,
Sanofi,Distribution Quality Agreement,,USD,,
Sanofi,Legal Services,,USD,,
SANTEN OY,Car Leasing,,USD,,
SANTEN OY,Draft Agreement Review,,USD,,
SANTEN OY,General Issues,,USD,,
SANTEN OY,Legal Memo,,USD,,
SANTEN OY,SOP review,,USD,,
SANTEN OY,SOP review 2020,,USD,,
Sardor Rahmatullaev,Иск Kasbi Paxta Tozalash,,USD,,
Sarkor,Сопровождение сделки по смене участника,,USD,,
SAUDI TABREED,Employment Contracts,,USD,,
SAUDI TABREED,Khiva Trigeneration,,USD,,
SAUDI TABREED,Nukus Heating,,USD,,
SAYENKO KHARENKO,KYIVSTAR - Uzbek Merger Control Analysis,,USD,,
SBERBANK,Подготовка заключения,,EUR,,
Schlumberger,Day to day,,EUR,,
Schlumberger,Exploisive License,,EUR,,
Schlumberger,PE ESTABLISHMENT,,EUR,,
Schlumberger,PE Registration,,EUR,,
Schlumberger,Radiation License,,EUR,,
Schlumberger,Work Permits,,EUR,,
Schlumberger,Мемо по лицензированию,,EUR,,
SEAMLESS Legal,E CARD - DD,,USD,,
SEAMLESS Legal,E1 Merger Clearance,,USD,,
SEAMLESS Legal,KDB Bank,,USD,,
SEW-EURODRIVE,Legal Presence,,USD,,
SFERA,Samarkand Aeroport,,USD,,
Shamol Zarafshan Energy FE LLC,"Land return, cadaster and mortgage",ShZE-35,UZS,,
Shamol Zarafshan Energy FE LLC,Legal Services,,UZS,,
Shamol Zarafshan Energy FE LLC,PIF Transfer,ShZE-35,UZS,,
SHiUZ,Debt Collection,,EUR,,
SHiUZ,SHiUZ enforcement proceedings,,EUR,,
SICPA,Marking products,,EUR,,
Silk Valley,Company Registration,,USD,,
Simmons&Simmons,Kungrad LC/PCG,,USD,,
SMBC and SACE,Kungrad Wind,,USD,,
SOCIETE GENERALE - HSF,Surkhandarya Project Financing,,USD,,
Sodrugestvo,Подготовка меморандума (земля),,USD,,
Standard Chartered Bank,Advise on financing to Asakabank,,USD,,
Standard Chartered Bank,Waste-to-energy project,,USD,,
Standard Chartered Bank/Baker McKenzie,Advising on financing to Asakabank,,USD,,
Sumi/EDF,Syrdarya CCGT,,USD,,
Sumi/EDF,Syrdarya Compensation Matters (Sojitz),,USD,,
Sumitomo,Acquisition of ACWA projects,KL-ASHURST-02,USD,,
Sunview,Solar + BESS Project,,USD,,
TACROM SERVICES S.R.L,TACROM SERVICES S.R.L,,EUR,,
Takeda,Employment Contact,,USD,,
Takeda,Insurance issue,,USD,,
Takeda,Memo on Pharmacies,,USD,,
Tambour,JV UzKabel,,EUR,,
Tashkent International Clinic,Day to day,,USD,,
Tashkent International Clinic,Organisation of medical station,,USD,,
Tashkent International School,Kitchen Food Service,,USD,,
Tashslavtrade,Preparing Memo on questions,,EUR,,
TAU TOOLS,Company Registration,,USD,,
TBС Bank,Vacations Memo,,UZS,,
TECA,Strategic Advisory for Commercial Dispute,,EUR,,
TECHNOLOGIES OF TRUST - CONSULTING,НГМК - Первая инстанция,,EUR,,
TECHNOLOGIES OF TRUST - CONSULTING,Подготовка мнения по позиции,,EUR,,
Tencent,Acquisition of Uzum,,USD,,
Tenge Bank,ООО «Universal Art Textile» case,,UZS,,
Three Crowns,Baisun PSA,,USD,,
TIHES,TIC,,USD,,
Timur Pulatov,Capital Increas,,EUR,,
Timur Pulatov,DD Report,,EUR,,
TOMYRIS,General Legal Services,,USD,,
TotalEnergies,Tutly 2 Solar,,EUR,,
Toyota Central Asia,Homologation Issue,,USD,,
Toyota Central Asia,Local Subsidiary,,USD,,
Toyota Central Asia,Set-off Issue,,USD,,
Toyota Tsusho Corporation,Employment Agreements,,UZS,,
Toyota Tsusho Corporation,Employment Matter: AutoCAD Employee,,UZS,,
Toyota Tsusho Corporation,HR Policy,,UZS,,
TRAFIGURA,E-mail advise on corporate approvals,,USD,,
UBS,Credit Suisse Merger,,EUR,,
UBS,Export Finance Transfer,,EUR,,
UBS,NDA Matter,,EUR,,
UBS,Potential EoD,,EUR,,
UBS,Promissory Note,,EUR,,
UBS,UAM/UMPT Supplemental Agreement,,EUR,,
UNG Financing,MUFG Bank,,USD,,
United Energy Group,Memo on employment matters,,UZS,,
United Energy Group,Regular legal services,,UZS,,
United Energy Pakistan,Acquisition of oil company,KL-UEP-46,USD,,
UNITEL,Cуд первой инстанции УзРепорт (поручение 7),,UZS,,
UNITEL,Dispute Unitel vs Honjiza Savdo,,UZS,,
UNITEL,Honjiza Savdo,,UZS,,
UNITEL,Labor issue,,UZS,,
UNITEL,Labor issues,,UZS,,
UNITEL,Malinovsky vs Musin (SOS 10),,UZS,,
UNITEL,Odobreniye sdelki s zainteresovannostiy,,UZS,,
UNITEL,Prava_Potrebit,,UZS,,
UNITEL,Prava_Potrebit 2,,UZS,,
UNITEL,Proverka_ugol_delo,,UZS,,
UNITEL,Spor s nalogovoy,,UZS,,
UNITEL,Thompson,,UZS,,
UNITEL,UNITEL_Mobile Banking,,UZS,,
UNITEL,UZReport,,UZS,,
UNITEL,UZReport_2,,UZS,,
UNITEL,Апелляционная жалоба по спору с налоговой (Поручение 4),,UZS,,
UNITEL,Апелляция «UzReport» Поручение 9,,UZS,,
UNITEL,Апелляция по спору с МГНИ (SOS 1),,UZS,,
UNITEL,Билаб - обжалование постановления ГНИ,,UZS,,
UNITEL,Взыскание с Газиева (Поручение 11),,UZS,,
UNITEL,вопрос по дивидендам,,UZS,,
UNITEL,Вопросы по зданию,,UZS,,
UNITEL,Вопросы по контент провайдерам,,UZS,,
UNITEL,дело по заявлению Шукова,,UZS,,
UNITEL,Кассационная жалоба по спору с налоговой (Поручение 6),,UZS,,
UNITEL,Меморандум по выделению башенной компании,,UZS,,
UNITEL,Надзорная жалоба по делу Будь в курсе,,UZS,,
UNITEL,Обжалование нового решения налоговой (поручение 8),,UZS,,
UNITEL,По вопросам прав на ПО и способ доставки,,UZS,,
UNITEL,Правовое заключение,,UZS,,
UNITEL,Сделка по зданию в IT парк,,UZS,,
UNITEL,Спор с Шуковым 2021,,UZS,,
UNITEL,Строительство дата центра,,UZS,,
UNITEL,Трудовой спор с Ахмедовым (1-я инстнация),,UZS,,
UNITEL,Трудовой спор с Ахмедовым - апелляция (Поручение 7),,UZS,,
UNITEL,Трудовой спор с Ахмедовым апелляционная инстанция (новое рассмотрение),,UZS,,
UNITEL,Трудовой спор с Ахмедовым первая инстанция (новое рассмотрение) поручение 10,,UZS,,
UNITEL,Трудовой спор с Газиевым кассационная инстанция поручение 11,,UZS,,
UNITEL,Трудовой спор с Газиевым_апелляция  (Поручение 6),,UZS,,
UNITEL,Трудовой спор с Газиевым_первая инстанция (Поручение 4),,UZS,,
UNITEL,Трудовой спор с Мусиным_кассация (Поручение 2),,UZS,,
UNITEL,Трудовой спор с Соатмуминовым_кассация (Поручение 3),,UZS,,
UNITEL,Трудовой спор с Чумаковым 1-я инстнация (Поручение 9),,UZS,,
UNITEL,Трудовой спор с Чумаковым апелляционная инстанция поручение 12,,UZS,,
URBANTECH,Day to Day Activity (Moscow office),,USD,,
URBANTECH,LLC establishment,,USD,,
UZ UMRC,Day to day,,UZS,,
UZ-KOR GAS CHEMICAL,Спор с налоговой,,UZS,,
Uzbek Leasing International,Court case Karmana Alfa Gaz,,UZS,,
Uzbek Leasing International,Incofin,,UZS,,
Uzbek Leasing International,INCOFIN 2022,,UZS,,
Uzbek Leasing International,Karmana Alfa Gaz,,UZS,,
Uzbek-Oman Investment Company,Ceramic Plant,KL,UZS,,
Uzbek-Oman Investment Company,Compas Management,,UZS,,
Uzbek-Oman Investment Company,SWAP - Samarkand Darvoza,,UZS,,
Uzbek-Oman Investment Company,Universal Bank,,UZS,,
UzCard,Создание управляющей компании,,UZS,,
UzCarlsberg,Transaction with EBRD,,UZS,,
UzNIF,Advising UzNIF on IPO,,USD,,
UzOman LLC,Advising on IFC financing to UzOman,,UZS,,
UZTELECOM,Deutsche Bank Financing,,USD,,
UZUM,Юридическое заключение,,UZS,,
V&E,SkyPower,,USD,,
V&E,Yangikon,KL-VE-1,USD,,
V&E,Yangikon - Procurement Services,,USD,,
Veolia,Water Pumps,,USD,,
VEON,Privatization of MobiUz,,USD,,
Verba Legal,Day to Day Activity,,USD,,
Verba Legal,Открытие ПО,,USD,,
Viessmann,Settlment with head of Representative Office,,USD,,
Vision Invest,Fergana Hospital,,USD,,
Vision Invest,Tashkent Airport,,USD,,
VOLTALIA,100 MW Wind Power,,EUR,,
VOLTALIA,BESS Project,,EUR,,
VOLTALIA,Company name change,,EUR,,
VOLTALIA,Establishment of Project Company,,EUR,,
VOLTALIA,Establishment of VLT O&S Tashkent,,EUR,,
VOLTALIA,General Legal Services,,EUR,,
VOLTALIA,Hybrid Energy Project,,EUR,,
VOLTALIA,NEGU-UES Transfer,,EUR,,
VOLTALIA,Scaling Solar III,,EUR,,
VOLTALIA,Tashkent BESS,,EUR,,
VOLTALIA,Transfer of Shares in Artemisya Solar,,EUR,,
Voltalia O&S,Legal services on labour matters,,UZS,,
Westminster Foundation for Democracy,Branch Office Openning,,USD,,
White & Case,Sovereign Eurobonds - Project Tilla,,USD,,
White & Case/Citibank and other JLMs,Project Everest - Aloqabank - Eurobonds,,USD,,
Wide Tent System,Holiday Inn Bukhara,,UZS,,
WILKIE FARR & GALLAGHER,Affidavit on Uzbek law,,USD,,
World Bank,SEZ Legal Framework,,USD,,
Xalq Bank/White & Case,Xalq Bank Debut Eurobonds,,USD,,
XCMG,M&A,,USD,,
XPLORHR,Visa assistance,,USD,,
Yandex Eats,Cделка по покупке активов,,EUR,,
YOUSANG TEX,YOUSANG TEX,,UZS,,
Yulchon,FEZ LLA,,USD,,
Yulchon,Liquidation,,USD,,
Yulchon,КТ увеличение/покупка доли,,USD,,
Yulchon,открытие и ведение фирмы,,USD,,
Yulchon,Передача доли в институте,,USD,,
YULIA HUNTLY (VOSBIKIAN),Divorce Certificate,,USD,,
Zamin Angor Cluster,Юридическое заключение по договору поручительства,,USD,,
Zenit,Debt Collection,,UZS,,
Zenit,Disput with SUVTAMINOT,,UZS,,
Zenit,property rights,,UZS,,
Zenit,вопросы по проведению конкурса,,UZS,,
Zenit,вопросы по продаже доли,,UZS,,
Zenit,Надзорная жалоба по спору с кадастром (Property Right),,UZS,,
Zenit,Подготовка апелляции по делу об аренде Zenit,,UZS,,
Zenit,Подготовка заключения по вопросам уступки доли,,UZS,,
Zenit,подготовка к проведению ОСУ,,UZS,,
Zenit,Подготовка надзорной жалобы по Сувтаъминот,,UZS,,
Zenit,Спор с налоговой,,UZS,,
ZTE,JV Liquidation,,USD,,
ZTE,Memo on PII,,USD,,
ZTE Investment,Dispute with Uzbek Railways,,UZS,,
ZTE Investment,LIQUIDATION,,UZS,,
ZTE Investment,Regular legal services,,UZS,,
ZTE Investment,Telecom Innovations charter capital increase,,UZS,,
ZTE Investment,Transfer of debt,,UZS,,
ZTE Investment,Uzbektelecom,,UZS,,
ZTZ,ZTZ-Epsilon,,EUR,,
Современные Транспортные Технологии,"Юридическое заключение - Сборка автотранспортных средств, СЭЗ Джизак",,USD,,
ТМЗ,ROSEXIMBANK,,UZS,,
ТМЗ,Подготовка юр заключения по кредитным договорам,,UZS,,
ТМЗ,ТМЗ реструктуризация 2024,,UZS,,
ТМЗ,Уступка,,UZS,,
Урбантех (Ташкентский офис),Day to Day Activity (Tashkent office),,USD,,
Фонд прямых инвестиций,Рассмотрение документов по сделке - Этап II,,UZS,,
Фонд прямых инвестиций,Юридическая проверка - Этап I,,UZS,,
ХРОМОРС Инжиниринг,Kimyo Technologiya,,UZS,,
Эркин Джалилов (Эркинтой),Выселение,,USD,,
Янги Кон,Сопровождение сделки Янги Арслан №1,,UZS,,
