Client,Project,Project Code,Currency,Project Status,Total Hours
CF&S Group,LLC Establishment,,EUR,,
CF&S Group,RO Accreditation,,EUR,,
CF&S Group,Смена директора,,EUR,,
Changi International Airport,Tashkent International Airport,,USD,,
China Eximbank,Legal DD report - Agrobank syndication,,USD,,
Clyde & Co,Swiss Re - Memo,,USD,,
CMS,CMS - XIAOMI QUESTIONNAIRE,,EUR,,
CMS,Hungarian Eximbank - Ipoteka Bank,,EUR,,
CMS,Hungarian Eximbank - Mikrokreditbank,,EUR,,
CMS,Phanes Solar,,EUR,,
DANA TASHKENT,Warehouse Legal DD,,UZS,,
DANA TASHKENT,Warehouse SPA,,UZS,,
Deel Inc.,Deel Expansion: Uzbekistan,KL-DG-03,USD,,
DeFacto Retail Limited,General Legal Services,,UZS,,
DeFacto Retail Limited,Questionnaire,,UZS,,
DENTSU INC,KIRIN GREEN’S FREE,,EUR,,
DENUO,DENUO_HEE Trans,,EUR,,
diiPArt,Construction Projects,,EUR,,
DLA Piper,Legal Advice for XCMG,,USD,,
DUAN&DUAN,Cement Plant,,USD,,
DUAN&DUAN,Labour Agreement,,USD,,
DUAN&DUAN,LLC Establishment,,USD,,
"DYAKIN, GORTSUNYAN AND PARTNERS",Preparing answers to questions,,EUR,,
E 20,Agricultural cluster,,UZS,,
E 20,Company establishment,,UZS,,
E 20,Creation of agrocluster,,UZS,,
E 20,Day to day activity,,UZS,,
E 20,Directorship handover and WP,,UZS,,
E-Advisor,Microfinance Company Establishment,,EUR,,
E-Credit Group,Micro finance company,,USD,,
Eaglerise Electric Energy,Company Incorporation,,USD,,
Eaglerise Electric Energy,Tashkent BESS,,USD,,
EBRD,DEBT COLLECTION (Green World),,USD,,
EBRD,EBRD - Dormitories,,USD,,
EBRD,EBRD - Health Line (enforcement options),,USD,,
EBRD,HEALTH LINE,,USD,,
EBRD,JURABEK,,USD,,
EBRD,Jurabek 2,,USD,,
EBRD,Shakhboz Shakhrom,,USD,,
EBRD,Shakhboz Shakhrom 2020,,USD,,
ECOS,LLC Registration,,USD,,
EDF,Head Office Legal Support,,EUR,,
EDF,Local Office (EDF-ICA) Legal Support,,EUR,,
EDF,Mullalak - Khodjikent,,EUR,,
EDF,Subsidiary,,EUR,,
EDF,Transfer of Shares,,EUR,,
EDF Renouvelables,Acquisition of share in wind project,,EUR,,
EDF Renouvelables,Samarkand Distribution Networks,,EUR,,
EDF-KANSAI,Distribution Networks Project,,EUR,,
EDF-Sojitz Consortium,Syrdarya II CCGT - Northern Route,,USD,,
Edo Veenstra,Residence Permit,,USD,,
EIB,Lease Agreement,,USD,,
ELEKTROIZOLIT,Synecta debts,,UZS,,
ELEKTROIZOLIT,Обзор по налоговым льготам,,UZS,,
ELEKTROIZOLIT,ответ на письмо налоговой,,UZS,,
ELEKTROIZOLIT,претензия к почте,,UZS,,
ELEKTROIZOLIT,спор с облгазом,,UZS,,
ELEKTROIZOLIT,Текущие вопросы,,UZS,,
Energy China,Legal support of EIF Transfer Agreement,,USD,,
ENERSOK,General Legal Services,,UZS,,
EPAM,PINFL REGISTRATION,,USD,,
EPAM,Меморандум - юридическая консультация,,USD,,
EPAM,Справка по таможенному вопросу,,USD,,
ERAE,Dividend memo,,USD,,
Ernst & Young  branch in Moscow,Restructuring,,USD,,
Ernst & Young  branch in Moscow,Share Sale,,USD,,
Ernst & Young Tashkent,Daily Services,,USD,,
Etihad Water and Electricity,MUBAREK CCGT,,USD,,
EVRO TBM,Court proceeding,,UZS,,
EVRO TBM,Regular legal services,,UZS,,
EVYAP INTERNATIONAL,Company Establishment,,EUR,,
EXAR_RID TASHKENT,Ликвидационное производство (I этап),,EUR,,
EXAR_RID TASHKENT,Судебные споры (II этап),,EUR,,
EXAR_RID TASHKENT,Уголовные и другие дела (III этап),,EUR,,
Familia,LLC Establishment,,USD,,
FEKA,Increase capital of the Company,,UZS,,
FEKA,LLC Establishment & Work Permit Obtainment,,UZS,,
FHL GROUP,DAY TO DAY ACTIVITY,,UZS,,
FHL GROUP,LLC Establishing,,UZS,,
Fonbet,Increase of the charter capital,,UZS,,
Frankfurt School of Finance,ADB - Mortgage Refinancing Company,,USD,,
Franklin Templeton,Franklin Templeton Matters,,UZS,,
Gazprombank,Assignment Deal,,USD,,
Gazprombank,Samarkand Airport,,USD,,
Gazprombank,Tepelen,,USD,,
GBI,Commercial Registry Extract,,USD,,
GEOX,Franchise,,EUR,,
GIdrostanko Servis,AKA Bank,,USD,,
Giesecke & Devrient - LOMO,Договор цессии,,USD,,
Glenmark,Memo on employment,,EUR,,
Global South Utilities,Acquisition of Yashil Energy,,USD,,
Global University Systems,Memo on Legal Presence,,USD,,
GMPT Uzbekistan,Apartment Lease,,UZS,,
GMS Worldwide,GMS AND UCELL,KL-GMS-40,USD,,
GOR INVESTMENT,Projects,,EUR,,
GPB Complect,Pledge of rights on commission agreement,,RUB,,
GPB Complect,Samarkand Solar,,RUB,,
GPB Complect,SANEG 2,,RUB,,
GPB Complect,Залог выручки,,RUB,,
GPB Complect,"Подготовка заключения (ООО ""KHONOBOD SOLAR ENERGY"")",,RUB,,
GPB Complect,Реструктуризация,,RUB,,
GSK,Consumer Health,,EUR,,
GSK,Pharma,,EUR,,
GSK,Project Evolution,,EUR,,
GSK,Regular services,,EUR,,
GUEHRING-KG,Dispute with Uz-Hanwoo Engineering,,USD,,
GUEHRING-KG,Transition of GM to UzAvto,,USD,,
GUEHRING-KG,UMPT Contract Termination,,USD,,
Halq Bank,Halq Bank 2020,,UZS,,
Halyk Bank,FA Review & Issuing LO,,USD,,
Helaba,Advising on loan financing,,EUR,,
Helaba,Provision loan to Asakabank,,EUR,,
Helaba,Transaction with Trustbank - Advising on shoppingline,,EUR,,
HERES,Heres - LLC Establishment,,EUR,,
Heritage Lending Group BV,Certification of BDB management,,USD,,
Hermes Investment Management Limited,Marketing of Funds Advice,,USD,,
Hilton Worldwide,Hilton Information Technology Services Agreement,,USD,,
Hogan Lovells,EDF - Stone City,,EUR,,
HUMANS,Представление интересов в суде,,UZS,,
Hyundai Engineering Co. Ltd.,JV Withdrawal,,USD,,
Hyundai Engineering Co. Ltd.,Legal Opinion - Immovable Property,,USD,,
Hyundai Engineering Co. Ltd.,Tashkent WWTP (Saman),,USD,,
IDOL MEBEL,Повторная кассация,,USD,,
IFC,DD Report in construction industry,,USD,,
IFC,Dialysis Project,,USD,,
IFC,Drafting Alternative Investment Law,,USD,,
IFC,Imaging Diagnostics,,USD,,
IFC,Radiotherapy,,USD,,
IFC,Schools PPP,,USD,,
IFC,Tashkent Airport - Vision Invest,,USD,,
IFC,Water Pumps,,USD,,
ILF,ESCo,,USD,,
ILF Consulting Engineers,Visa support & work permit,,EUR,,
ILTEKNO,LTSA,,USD,,
ILTEKNO,Payment Security Options for EPC Contracts,,USD,,
In2Metals,Company Incorporation,,USD,,
In2Metals,Exploration Activities,,USD,,
INDITEX,Operation in Uzbekistan,,USD,,
Inditex Group,Zara,,USD,,
